Player,Club,Clearances,Clearances,Centre clr,Centre clr,Stoppages,Stoppages,Rebound50,Rebound50,Frees For,Frees For,Frees Agst,Frees Agst,Tackles,Tackles,One %s,One %s,Bounces,Bounces,Inside50,Inside50,Goals,Goals
,,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG
71 Stevie-Lee Thompson,ADEL,5,0.6,0,0,5,0.6,11,1.4,3,0.4,5,0.6,11,1.4,8,1,1,0.1,13,1.6,0,0
71 Hayley Miller,FRE,3,0.4,0,0,3,0.4,6,0.9,4,0.6,2,0.3,15,2.1,7,1,9,1.3,13,1.9,0,0
71 Jessica Sedunary,ADEL,5,0.6,0,0,5,0.6,0,0,5,0.6,12,1.5,16,2,3,0.4,2,0.3,12,1.5,3,0.4
71 Madeline Keryk,CARL,16,2.7,4,0.7,12,2,8,1.3,2,0.3,13,2.2,19,3.2,2,0.3,0,0,11,1.8,0,0
76 Sharni Webb,BL,10,1.3,2,0.3,8,1,6,0.8,8,1,8,1,27,3.4,7,0.9,0,0,9,1.1,0,0
76 Leah Kaslar,BL,2,0.3,0,0,2,0.3,15,1.9,4,0.5,4,0.5,18,2.3,24,3,0,0,1,0.1,0,0
76 Jessica Cameron,COLL,3,0.4,0,0,3,0.4,3,0.4,3,0.4,2,0.3,17,2.4,11,1.6,2,0.3,13,1.9,6,0.9
79 Tayla Harris,BL,4,0.5,0,0,4,0.5,4,0.5,8,1,19,2.4,16,2,6,0.8,0,0,9,1.1,4,0.5
79 Caitlyn Edwards,COLL,9,1.3,1,0.1,8,1.1,8,1.1,6,0.9,7,1,14,2,5,0.7,6,0.9,6,0.9,2,0.3
79 Lauren Spark,WB,3,0.4,0,0,3,0.4,10,1.4,3,0.4,4,0.6,5,0.7,14,2,0,0,3,0.4,0,0
79 Lauren Pearce,MELB,11,1.6,2,0.3,9,1.3,12,1.7,6,0.9,4,0.6,18,2.6,16,2.3,0,0,8,1.1,0,0
79 Melissa Kuys,COLL,12,2,3,0.5,9,1.5,5,0.8,5,0.8,7,1.2,12,2,3,0.5,0,0,7,1.2,0,0
84 Renee Tomkins,GWS,3,0.4,0,0,3,0.4,24,3.4,1,0.1,6,0.9,13,1.9,33,4.7,0,0,2,0.3,0,0
84 Amy Lavell,FRE,3,0.4,0,0,3,0.4,2,0.3,2,0.3,1,0.1,17,2.4,10,1.4,0,0,8,1.1,2,0.3
84 Hayley Wildes,WB,1,0.1,0,0,1,0.1,9,1.3,3,0.4,1,0.1,13,1.9,9,1.3,5,0.7,11,1.6,1,0.1
87 Kellie Gibson,ADEL,0,0,0,0,0,0,3,0.4,8,1,10,1.3,11,1.4,1,0.1,0,0,6,0.8,4,0.5
87 Angelica Gogos,WB,11,1.6,1,0.1,10,1.4,4,0.6,11,1.6,1,0.1,43,6.1,5,0.7,0,0,5,0.7,1,0.1
87 Nicole Hildebrand,BL,4,0.5,0,0,4,0.5,10,1.3,3,0.4,6,0.8,10,1.3,10,1.3,1,0.1,7,0.9,0,0
90 Shannon Campbell,BL,1,0.1,0,0,1,0.1,17,2.4,4,0.6,4,0.6,6,0.9,13,1.9,2,0.3,5,0.7,1,0.1
90 Heather Anderson,ADEL,2,0.3,1,0.1,1,0.1,9,1.1,1,0.1,2,0.3,9,1.1,15,1.9,4,0.5,4,0.5,0,0
92 Libby Birch,WB,1,0.1,0,0,1,0.1,2,0.3,2,0.3,5,0.7,13,1.9,15,2.1,1,0.1,1,0.1,0,0
93 Rhiannon Metcalfe,ADEL,6,0.8,2,0.3,4,0.5,7,0.9,1,0.1,3,0.4,4,0.5,5,0.6,0,0,6,0.8,0,0
93 Stacey Livingstone,COLL,2,0.3,0,0,2,0.3,13,1.9,1,0.1,3,0.4,8,1.1,10,1.4,0,0,5,0.7,0,0
93 Breanna Koenen,BL,8,1,4,0.5,4,0.5,6,0.8,7,0.9,2,0.3,19,2.4,6,0.8,0,0,5,0.6,0,0
96 Alison Downie,CARL,10,1.4,1,0.1,9,1.3,16,2.3,7,1,6,0.9,16,2.3,15,2.1,0,0,6,0.9,2,0.3
96 Kate McCarthy,BL,2,0.3,0,0,2,0.3,4,0.5,3,0.4,4,0.5,21,2.6,1,0.1,12,1.5,12,1.5,9,1.1
96 Sally Riley,ADEL,6,0.8,1,0.1,5,0.6,2,0.3,5,0.6,3,0.4,18,2.3,4,0.5,0,0,6,0.8,3,0.4
96 Darcy Vescio,CARL,2,0.3,0,0,2,0.3,0,0,6,0.9,4,0.6,18,2.6,4,0.6,1,0.1,7,1,14,2
