Player,Club,Behinds,Behinds,Goal assists,Goal assists,Goal acc %,Matches,Time On Ground %
,,TOT,AVG,TOT,AVG,TOT,TOT,TOT
125 Nikki Wallace,BL,0,0,0,0,0,8,43.2
126 Sarah Allan,ADEL,1,0.2,0,0,0,6,54.4
127 Aimee Schmidt,GWS,0,0,0,0,50,7,82.4
128 Cecilia McIntosh,COLL,0,0,0,0,100,6,80.9
129 Rebecca Privitelli,CARL,0,0,0,0,100,5,55.3
130 Brooke Patterson,MELB,0,0,0,0,0,4,66.3
131 Rachael Killian,ADEL,3,0.5,2,0.3,22.2,6,74.3
132 Tara Morgan,COLL,0,0,0,0,0,7,86.3
132 Bailey Hunt,WB,0,0,0,0,0,7,90.3
134 Akec Makur Chuot,FRE,0,0,0,0,0,6,64.9
135 Emma Humphries,MELB,0,0,1,0.1,100,7,53.6
136 Jacinda Barclay,GWS,3,0.5,4,0.7,36.4,6,82.8
137 Ella Ross,GWS,0,0,1,0.1,0,7,43.4
137 Moana Hope,COLL,8,1.1,3,0.4,46.7,7,89.7
137 Madeleine Boyd,MELB,0,0,0,0,0,7,51.8
137 Jess Bibby,GWS,0,0,0,0,0,7,60.5
 Laura Attard,CARL,0,0,0,0,0,7,88.6
137 Breann Moody,CARL,0,0,0,0,100,7,53.6
143 Justine Mules,ADEL,0,0,0,0,0,5,53.2
144 Kelly Clinch,FRE,0,0,0,0,0,6,72.8
145 Melissa Caulfield,FRE,0,0,0,0,50,5,68.4
146 Ashley Sharp,FRE,3,0.4,1,0.1,50,7,77.3
147 Jessica Kennedy,CARL,0,0,0,0,0,4,63.9
147 Ainslie Kemp,MELB,2,0.5,1,0.3,0,4,63.7
149 Kate Shierlaw,CARL,1,0.2,3,0.5,40,6,58.5
150 Harriet Cordner,MELB,1,0.1,0,0,33.3,7,42
150 Kate Tyndall,WB,1,0.1,2,0.3,0,7,63.2
150 Tayla Bresland,FRE,0,0,0,0,100,7,77.6
150 Clare Lawton,GWS,0,0,0,0,0,7,59.2
154 Jess Gardner,WB,0,0,1,0.2,100,5,54.1
155 Brooke Whyte,FRE,0,0,0,0,0,4,53.7
156 Alison Brown,CARL,1,0.1,0,0,0,7,47.9
157 Katie Brennan,WB,1,0.5,2,1,50,2,95.7
158 Tayla Thorn,ADEL,0,0,1,0.2,0,5,55.1
159 Lisa Williams,WB,0,0,0,0,0,6,59
160 Aasta O'Connor,WB,0,0,1,0.3,100,4,73.6
Kira Phillips,FRE,3,0.6,1,0.2,28.6,5,56.8
162 Erin McKinnon,GWS,0,0,0,0,0,7,63.8
162 Demi Okely,FRE,1,0.1,0,0,0,7,54.8
164 Jessica Anderson,MELB,3,0.6,0,0,25,5,49.6
165 Aliesha Newman,MELB,2,0.5,0,0,33.3,4,50.9
166 Ellyse Gamble,WB,1,0.2,0,0,0,6,83.2
167 Monique Hollick,ADEL,0,0,1,0.3,0,3,71.6
168 Mia-Rae Clifford,MELB,0,0,0,0,0,7,82.5
169 Sophie Casey,COLL,0,0,0,0,100,5,66.3
170 Tiah Haynes,FRE,0,0,0,0,0,3,69.8
171 Meg Downie,MELB,0,0,0,0,0,2,91.1
172 Courtney Clarkson,WB,0,0,0,0,100,6,32.3
173 Rebecca Neaves,WB,2,0.4,1,0.2,0,5,40.7
174 Taylah Angel,FRE,0,0,0,0,0,4,48.9
175 Kristy De Pellegrini,GWS,0,0,0,0,0,6,75.4
176 Tahni Nestor,CARL,0,0,0,0,0,3,91.1
177 Isabella Ayre,CARL,2,0.3,2,0.3,66.7,6,65.2
178 Mai Nguyen,GWS,0,0,0,0,100,3,40.2
179 Selina Goodman,BL,0,0,0,0,0,8,38.8
180 Meg McDonald,WB,2,0.5,0,0,20,4,86.4
 Louise Stephenson,GWS,0,0,0,0,0,3,63
182 Jordan Membrey,BL,0,0,0,0,100,5,40
182 Ruby Schleicher,COLL,0,0,0,0,0,5,36.8
184 Sarah Last,CARL,0,0,0,0,0,3,79.4
184 Stephanie Walker,GWS,0,0,1,0.3,33.3,3,51
186 Kate Stanton,GWS,1,0.3,1,0.3,50,4,58.8
186 Tarnica Golisano,FRE,0,0,0,0,0,4,41.7
188 Alicia Janz,FRE,0,0,0,0,0,3,72.3
189 Jordan Ivey,CARL,0,0,0,0,100,2,66.3
190 Alexandra Saundry,GWS,0,0,0,0,0,4,56.2
191 Sarah Jolly,MELB,0,0,0,0,100,3,32.3
192 Brianna Green,FRE,0,0,0,0,0,2,50.8
193 Hannah Wallett,GWS,1,0.3,0,0,50,4,47
194 Hayley Trevean,CARL,0,0,1,1,0,1,53.8
195 Georgia Walker,COLL,0,0,0,0,0,2,40.1
196 Delissa Kimmince,BL,0,0,0,0,0,1,67.3
197 Lauren Morecroft,WB,0,0,0,0,0,2,62.6
198 Kimberley Ebb,WB,0,0,0,0,0,4,58.6
199 Kate Darby,CARL,0,0,0,0,0,2,54.9
199 Beatrice Devlyn,FRE,0,0,0,0,0,2,46.9
Sophie Armitstead,ADEL,0,0,0,0,0,1,42.3
202 Penny Cula-Reid,COLL,0,0,0,0,0,2,51.7
203 Shaleise Law,BL,0,0,0,0,0,3,34.4
204 Kate Deegan,BL,0,0,0,0,0,1,64.9
204 Hannah Dunn,GWS,0,0,0,0,0,1,44.5
204 Helen Roden,COLL,0,0,0,0,0,1,42.3
207 Codie Briggs,GWS,0,0,0,0,0,3,41.8
207 Lou Wotton,COLL,0,0,0,0,0,3,37.4
209 Kim Mickle,FRE,0,0,0,0,0,1,34.8
209 Elise Strachan,MELB,0,0,0,0,0,1,48.3
209 Natalie Plane,CARL,0,0,0,0,0,1,33.5
212 Romy Timmins,WB,0,0,0,0,0,2,35.5
213 Isabella Rudolph,GWS,0,0,0,0,0,1,27.8
214 Lauren O'Shea,ADEL,0,0,0,0,0,0,0
214 Taryn Priestly,FRE,0,0,0,0,0,0,0
214 Stephanie De Bortoli,MELB,0,0,0,0,0,0,0
214 Lisa Steane,GWS,0,0,0,0,0,0,0
214 Jade Ransfield,BL,0,0,0,0,0,0,0
214 Kiara Bowers,FRE,0,0,0,0,0,0,0
214 Emily Bonser,FRE,0,0,0,0,0,0,0
Jasmine Anderson,ADEL,0,0,0,0,0,0,0
214 Jess Hosking,CARL,0,0,0,0,0,0,0
214 Pepa Randall,MELB,0,0,0,0,0,0,0
214 Caitlin Collins,BL,0,0,0,0,0,0,0
214 Kendra Heil,COLL,0,0,0,0,0,0,0
226 Kate Sheahan,COLL,0,0,0,0,0,1,13.3
227 Renee Forth,GWS,0,0,0,0,0,0,0
